Name,Chamber,Party,Avg. Net Worth
Darrell Issa (R-Calif),H,R,464115018
Jared Polis (D-Colo),H,D,197945705
John K. Delaney (D-Md),H,D,154601580
Michael McCaul (R-Texas),H,R,143153910
Scott Peters (D-Calif),H,D,112467040
Vernon Buchanan (R-Fla),H,R,88802066
Nancy Pelosi (D-Calif),H,D,87997030
Diane Black (R-Tenn),H,R,69569042
Tom Rooney (R-Fla),H,R,64314955
Chris Collins (R-NY),H,R,59104518
Robert Pittenger (R-NC),H,R,54791526
Suzan DelBene (D-Wash),H,D,54251531
Gary Miller (R-Calif),H,R,46542523
Rodney Frelinghuysen (R-NJ),H,R,45402595
Chellie Pingree (D-Maine),H,D,42462048
Alan Grayson (D-Fla),H,D,40362024
Scott Rigell (R-Va),H,R,38247537
Jim Renacci (R-Ohio),H,R,36634730
John Fleming (R-La),H,R,35129023
Nita M. Lowey (D-NY),H,D,34290511
Trent Franks (R-Ariz),H,R,33185001
Joe Kennedy III (D-Mass),H,D,31964615
Carolyn B. Maloney (D-NY),H,D,28346508
Richard Hanna (R-NY),H,R,28038576
Tom Petri (R-Wis),H,R,25638511
Steven Daines (R-Mont),H,R,24400006
Steve Pearce (R-NM),H,R,22614007
John Campbell (R-Calif),H,R,21959030
Brad Schneider (D-Ill),H,D,21516351
John A. Yarmuth (D-Ky),H,D,21201024
Lloyd Doggett (D-Texas),H,D,21008542
Roger Williams (R-Texas),H,R,19186511
Kenny Marchant (R-Texas),H,R,18945325
F. James Sensenbrenner Jr (R-Wis),H,R,18558166
Fred Upton (R-Mich),H,R,18330586
Bill Foster (D-Ill),H,D,17715510
Rosa L. DeLauro (D-Conn),H,D,15834507
Jeff Denham (R-Calif),H,R,15705002
Cynthia Marie Lummis (R-Wyo),H,R,14410011
Mike Kelly (R-Pa),H,R,14063570
Dave Camp (R-Mich),H,R,10494638
Jackie Speier (D-Calif),H,D,10416039
Jon Runyan (R-NJ),H,R,10398023
Randy Neugebauer (R-Texas),H,R,10235038
Jim Cooper (D-Tenn),H,D,10218293
David McKinley (R-WVa),H,R,9681041
Eric Cantor (R-Va),H,R,9345056
Tom Price (R-Ga),H,R,8266243
Vicky Hartzler (R-Mo),H,R,8193511
Blake Farenthold (R-Texas),H,R,7728048
Beto O'Rourke (D-Texas),H,D,7568536
John Garamendi (D-Calif),H,D,7425007
Keith J. Rothfus (R-Pa),H,R,7187527
Earl Blumenauer (D-Ore),H,D,6809015
John L. Mica (R-Fla),H,R,6433505
Scott Tipton (R-Colo),H,R,6374535
George Holding (R-NC),H,R,6121028
Suzanne Bonamici (D-Ore),H,D,6057015
Jim Himes (D-Conn),H,D,5967025
Markwayne Mullin (R-Okla),H,R,5941015
Virginia Foxx (R-NC),H,R,5888015
Ann L. Wagner (R-Mo),H,R,5873061
Bill Flores (R-Texas),H,R,5762489
Tom Latham (R-Iowa),H,R,5739219
Dennis Heck (D-Wash),H,D,5727032
Mike Conaway (R-Texas),H,R,5455557
Dina Titus (D-Nev),H,D,5429041
Paul Ryan (R-Wis),H,R,5405548
Tom Rice (R-SC),H,R,5395509
John D. Dingell (D-Mich),H,D,5239554
Ami Bera (D-Calif),H,D,5128535
Peter Welch (D-Vt),H,D,5114048
Phil Gingrey (R-Ga),H,R,5061515
Niki Tsongas (D-Mass),H,D,4550021
Al Green (D-Texas),H,D,4507505
Kurt Schrader (D-Ore),H,D,4500558
Lamar Smith (R-Texas),H,R,4450054
Frank Pallone Jr (D-NJ),H,D,4417083
Filemon Vela (D-Texas),H,D,4397011
Tom Cole (R-Okla),H,R,4358035
Carolyn McCarthy (D-NY),H,D,4316549
Steve Cohen (D-Tenn),H,D,4303561
David P Joyce (R-Ohio),H,R,4265057
Phil Roe (R-Tenn),H,R,4234361
