Name,Chamber,Party,Avg. Net Worth
Darrell Issa (R-Calif),H,R,"$464,115,018"
Mark Warner (D-Va),S,D,"$257,481,658"
Jared Polis (D-Colo),H,D,"$197,945,705"
John K. Delaney (D-Md),H,D,"$154,601,580"
Michael McCaul (R-Texas),H,R,"$143,153,910"
Scott Peters (D-Calif),H,D,"$112,467,040"
Richard Blumenthal (D-Conn),S,D,"$103,803,192"
Jay Rockefeller (D-WVa),S,D,"$101,290,514"
Vernon Buchanan (R-Fla),H,R,"$88,802,066"
Nancy Pelosi (D-Calif),H,D,"$87,997,030"
Diane Black (R-Tenn),H,R,"$69,569,042"
Dianne Feinstein (D-Calif),S,D,"$68,446,578"
Tom Rooney (R-Fla),H,R,"$64,314,955"
Chris Collins (R-NY),H,R,"$59,104,518"
Robert Pittenger (R-NC),H,R,"$54,791,526"
Suzan DelBene (D-Wash),H,D,"$54,251,531"
James E. Risch (R-Idaho),S,R,"$53,517,527"
Bob Corker (R-Tenn),S,R,"$49,114,509"
Gary Miller (R-Calif),H,R,"$46,542,523"
Rodney Frelinghuysen (R-NJ),H,R,"$45,402,595"
Chellie Pingree (D-Maine),H,D,"$42,462,048"
Alan Grayson (D-Fla),H,D,"$40,362,024"
Scott Rigell (R-Va),H,R,"$38,247,537"
John Hoeven (R-ND),S,R,"$37,115,538"
Jim Renacci (R-Ohio),H,R,"$36,634,730"
John Fleming (R-La),H,R,"$35,129,023"
Nita M. Lowey (D-NY),H,D,"$34,290,511"
Trent Franks (R-Ariz),H,R,"$33,185,001"
Joe Kennedy III (D-Mass),H,D,"$31,964,615"
Carolyn B. Maloney (D-NY),H,D,"$28,346,508"
Richard Hanna (R-NY),H,R,"$28,038,576"
Tom Petri (R-Wis),H,R,"$25,638,511"
Ron Johnson (R-Wis),S,R,"$24,442,007"
Steven Daines (R-Mont),H,R,"$24,400,006"
Kay R. Hagan (D-NC),S,D,"$24,069,791"
Mitch McConnell (R-Ky),S,R,"$22,841,026"
Steve Pearce (R-NM),H,R,"$22,614,007"
John Campbell (R-Calif),H,R,"$21,959,030"
Brad Schneider (D-Ill),H,D,"$21,516,351"
John A. Yarmuth (D-Ky),H,D,"$21,201,024"
Lloyd Doggett (D-Texas),H,D,"$21,008,542"
Claire McCaskill (D-Mo),S,D,"$20,969,104"
Roger Williams (R-Texas),H,R,"$19,186,511"
Kenny Marchant (R-Texas),H,R,"$18,945,325"
F. James Sensenbrenner Jr (R-Wis),H,R,"$18,558,166"
Fred Upton (R-Mich),H,R,"$18,330,586"
Tom Harkin (D-Iowa),S,D,"$18,039,060"
Bill Foster (D-Ill),H,D,"$17,715,510"
Rosa L. DeLauro (D-Conn),H,D,"$15,834,507"
Angus King (I-Maine),S,I,"$15,733,079"
Jeff Denham (R-Calif),H,R,"$15,705,002"
Johnny Isakson (R-Ga),S,R,"$15,043,070"
Cynthia Marie Lummis (R-Wyo),H,R,"$14,410,011"
Mike Kelly (R-Pa),H,R,"$14,063,570"
Rob Portman (R-Ohio),S,R,"$13,924,561"
Dave Camp (R-Mich),H,R,"$10,494,638"
Jackie Speier (D-Calif),H,D,"$10,416,039"
Jon Runyan (R-NJ),H,R,"$10,398,023"
Randy Neugebauer (R-Texas),H,R,"$10,235,038"
Jim Cooper (D-Tenn),H,D,"$10,218,293"
Michael F. Bennet (D-Colo),S,D,"$9,784,515"
David McKinley (R-WVa),H,R,"$9,681,041"
Eric Cantor (R-Va),H,R,"$9,345,056"
Al Franken (D-Minn),S,D,"$8,563,027"
Tom Price (R-Ga),H,R,"$8,266,243"
Vicky Hartzler (R-Mo),H,R,"$8,193,511"
Blake Farenthold (R-Texas),H,R,"$7,728,048"
Beto O'Rourke (D-Texas),H,D,"$7,568,536"
James M. Inhofe (R-Okla),S,R,"$7,522,523"
John McCain (R-Ariz),S,R,"$7,428,052"
John Garamendi (D-Calif),H,D,"$7,425,007"
Ron Wyden (D-Ore),S,D,"$7,294,025"
Keith J. Rothfus (R-Pa),H,R,"$7,187,527"
Chris Coons (D-Del),S,D,"$7,153,988"
Jeff Sessions (R-Ala),S,R,"$7,080,031"
Elizabeth Warren (D-Mass),S,D,"$6,990,514"
Earl Blumenauer (D-Ore),H,D,"$6,809,015"
John L. Mica (R-Fla),H,R,"$6,433,505"
Richard C. Shelby (R-Ala),S,R,"$6,396,023"
