Name,Chamber,Party,Avg. Net Worth
Mark Warner (D-Va),S,D,257481658
Richard Blumenthal (D-Conn),S,D,103803192
Jay Rockefeller (D-WVa),S,D,101290514
Dianne Feinstein (D-Calif),S,D,68446578
James E. Risch (R-Idaho),S,R,53517527
Bob Corker (R-Tenn),S,R,49114509
John Hoeven (R-ND),S,R,37115538
Ron Johnson (R-Wis),S,R,24442007
Kay R. Hagan (D-NC),S,D,24069791
Mitch McConnell (R-Ky),S,R,22841026
Claire McCaskill (D-Mo),S,D,20969104
Tom Harkin (D-Iowa),S,D,18039060
Angus King (I-Maine),S,I,15733079
Johnny Isakson (R-Ga),S,R,15043070
Rob Portman (R-Ohio),S,R,13924561
Michael F. Bennet (D-Colo),S,D,9784515
Al Franken (D-Minn),S,D,8563027
James M. Inhofe (R-Okla),S,R,7522523
John McCain (R-Ariz),S,R,7428052
Ron Wyden (D-Ore),S,D,7294025
Chris Coons (D-Del),S,D,7153988
Jeff Sessions (R-Ala),S,R,7080031
Elizabeth Warren (D-Mass),S,D,6990514
Richard C. Shelby (R-Ala),S,R,6396023
John A. Barrasso (R-Wyo),S,R,5673508
Sheldon Whitehouse (D-RI),S,D,5557098
Jeanne Shaheen (D-NH),S,D,5411056
Ben Cardin (D-Md),S,D,5276037
Joe Manchin (D-WVa),S,D,5192535
Dan Coats (R-Ind),S,R,4673518
Mike Johanns (R-Neb),S,R,4614517
Harry Reid (D-Nev),S,D,4372030
Tom Carper (D-Del),S,D,4207570
Tim Scott (R-SC),S,R,4005006
Maria Cantwell (D-Wash),S,D,3771505
Bill Nelson (D-Fla),S,D,3757502
Tom Coburn (R-Okla),S,R,3665560
John Boozman (R-Ark),S,R,3564006
Heidi Heitkamp (D-ND),S,D,3532537
Roy Blunt (R-Mo),S,R,3460010
Barbara Boxer (D-Calif),S,D,3331503
Dean Heller (R-Nev),S,R,3274955
Richard Burr (R-NC),S,R,3157360
Chuck Grassley (R-Iowa),S,R,3142538
Ted Cruz (R-Texas),S,R,3094523
Pat Toomey (R-Pa),S,R,2977025
Tom Udall (D-NM),S,D,2881022
Susan Collins (R-Maine),S,R,2874078
Orrin G. Hatch (R-Utah),S,R,2854035
Lamar Alexander (R-Tenn),S,R,2794024
Thad Cochran (R-Miss),S,R,2633535
Mazie K. Hirono (D-Hawaii),S,D,2553523
Mary L. Landrieu (D-La),S,D,1795007
Mark Udall (D-Colo),S,D,1784528
Pat Roberts (R-Kan),S,R,1695514
Carl Levin (D-Mich),S,D,1679007
David Vitter (R-La),S,R,1633027
Amy Klobuchar (D-Minn),S,D,812514
Mark Begich (D-Alaska),S,D,1415023
Tim Kaine (D-Va),S,D,1379024
Dick Durbin (D-Ill),S,D,1345245
Jeff Merkley (D-Ore),S,D,1275510
Tim Johnson (D-SD),S,D,1201522
Jon Tester (D-Mont),S,D,1165502
Kelly Ayotte (R-NH),S,R,963007
Mike Enzi (R-Wyo),S,R,938028
Mike Crapo (R-Idaho),S,R,872009
Patty Murray (D-Wash),S,D,850008
Jerry Moran (R-Kan),S,R,826009
Tammy Baldwin (D-Wis),S,D,798502
Lisa Murkowski (R-Alaska),S,R,762520
Joe Donnelly (D-Ind),S,D,749004
Charles E. Schumer (D-NY),S,D,702008
John Cornyn (R-Texas),S,R,698511
Lindsey Graham (R-SC),S,R,697003
Roger Wicker (R-Miss),S,R,660508
Sherrod Brown (D-Ohio),S,D,639003
Jack Reed (D-RI),S,D,608523
Marco Rubio (R-Fla),S,R,559509
Bob Casey (D-Pa),S,D,544508
Max Baucus (D-Mont),S,D,519500
Robert Menendez (D-NJ),S,D,490502
Cory Booker (D-NJ),S,D,476009
Bernie Sanders (I-Vt),S,I,460506
Barbara A. Mikulski (D-Md),S,D,454508
Rand Paul (R-Ky),S,R,398003
John Thune (R-SD),S,R,384509
Mark Kirk (R-Ill),S,R,383001
Brian Schatz (D-Hawaii),S,D,319508
Kirsten Gillibrand (D-NY),S,D,291002
Deb Fischer (R-Neb),S,R,248001
Saxby Chambliss (R-Ga),S,R,243504
Martin Heinrich (D-NM),S,D,171007
Patrick Leahy (D-Vt),S,D,129503
Mike Lee (R-Utah),S,R,111002
Jeff Flake (R-Ariz),S,R,83001
Christopher S. Murphy (D-Conn),S,D,82502
Debbie Stabenow (D-Mich),S,D,32500
Mark Pryor (D-Ark),S,D,8500
